company,email,founder_name,job_type,website
Marmeto,careers@marmeto.com,Shashwat Swaroop,frontend,https://www.marmeto.com
Xplorazzi,careers@xplorazzi.com,Satyendra Sahani,fullstack,https://www.xplorazzi.com
JcurveIQ,careers@jcurveiq.com,JcurveIQ Founder,frontend,https://www.jcurveiq.com
RxGPT,careers@rxgpthealth.com,Sailesh Pattnaik,frontend,https://rxgpthealth.com
KogniCloud Tech,info@kognicloudtech.com,Rakesh Kumar Mishra,fullstack,https://www.kognicloudtech.com
CosmicFusion Labs,careers@cosmicfusionlabs.com,Amit Kumar,fullstack,https://www.cosmicfusionlabs.com
D Square Consulting,careers@dsquareconsulting.com,R. Dharmendra Pal,fullstack,https://www.dsquareconsulting.com
CuriousBox AI,careers@prode.ai,Abhishek Bansal,fullstack,https://prode.ai
Razorpay,careers@razorpay.com,Harshil Mathur,fullstack,https://razorpay.com
Groww,future@groww.in,Lalit Keshre,fullstack,https://groww.in
Zepto,careers@zeptonow.com,Aadit Palicha,fullstack,https://www.zeptonow.com
Postman,careers@postman.com,Abhinav Asthana,fullstack,https://www.postman.com
Hasura,careers@hasura.io,Tanmai Gopal,fullstack,https://hasura.io
BrowserStack,careers@browserstack.com,Ritesh Arora,fullstack,https://www.browserstack.com
Chargebee,careers@chargebee.com,Krish Subramanian,fullstack,https://www.chargebee.com
Loop Health,careers@loophealth.com,Mayank Kale,fullstack,https://www.loophealth.com
Juspay,careers@juspay.in,Vimal Kumar,backend,https://juspay.in
Landeed,careers@landeed.com,Sanjay Mandava,fullstack,https://www.landeed.com
Bolna AI,careers@bolna.ai,Maitreya Wagh,fullstack,https://www.bolna.ai
Sarvam AI,careers@sarvam.ai,Vivek Raghavan,fullstack,https://www.sarvam.ai
Yellow.ai,careers@yellow.ai,Raghu Ravinutala,fullstack,https://yellow.ai
CleverTap,careers@clevertap.com,Anand Jain,fullstack,https://clevertap.com
Fynd,careers@fynd.com,Farooq Adam,fullstack,https://fynd.com
Dukaan,careers@mydukaan.io,Suumit Shah,fullstack,https://mydukaan.io
Dyte,careers@dyte.io,Abhishek Kankani,fullstack,https://dyte.io
Vyapar,careers@vyaparapp.in,Sumit Agarwal,fullstack,https://vyaparapp.in
Khatabook,careers@khatabook.com,Ravish Naresh,fullstack,https://khatabook.com
smallcase,careers@smallcase.com,Vasanth Kamath,fullstack,https://www.smallcase.com
Airmeet,careers@airmeet.com,Lalit Mangal,fullstack,https://www.airmeet.com
Scaler,careers@scaler.com,Abhimanyu Saxena,fullstack,https://www.scaler.com
Haptik,careers@haptik.ai,Aakrit Vaish,fullstack,https://www.haptik.ai
PhonePe,careers@phonepe.com,Sameer Nigam,fullstack,https://www.phonepe.com
Perfios,careers@perfios.com,V.R. Govindarajan,fullstack,https://www.perfios.com
NIRAMAI,careers@niramai.com,Geetha Manjunath,fullstack,https://www.niramai.com
Practo,careers@practo.com,Shashank ND,fullstack,https://www.practo.com
Mindtickle,careers@mindtickle.com,Krishna Depura,fullstack,https://www.mindtickle.com
DVertex Info System,careers@dvertex.com,DVertex Founder,fullstack,https://www.dvertex.com
DigitalMonk,careers@digitalmonk.in,DigitalMonk Founder,fullstack,https://www.digitalmonk.in
Inhawk IT Solution,careers@inhawk.com,Inhawk Founder,backend,https://www.inhawk.com
G7 CR Technologies,careers@g7cr.com,G7 CR Founder,fullstack,https://www.g7cr.com
Limitscale,careers@limitscale.com,Limitscale Founder,fullstack,https://www.limitscale.com
UXDLAB Software,careers@uxdlab.com,UXDLAB Founder,frontend,https://www.uxdlab.com
Meesho,careers@meesho.com,Vidit Aatrey,fullstack,https://www.meesho.io
CRED,careers@cred.club,Kunal Shah,fullstack,https://cred.club
Apna Mart,careers@apnamart.in,Apna Mart Founder,fullstack,https://www.apnamart.in
Knowlify,careers@knowlify.com,Knowlify Founder,fullstack,https://www.knowlify.com
QuillAudits,careers@quillaudits.com,QuillAudits Founder,fullstack,https://www.quillaudits.com
Saral Recruitments,careers@saralrecruitments.com,Saral Founder,fullstack,https://www.saralrecruitments.com
YDesigns Creative Studio,careers@ydesigns.in,YDesigns Founder,frontend,https://www.ydesigns.in
Inklidox Technologies,careers@inklidox.com,Inklidox Founder,fullstack,https://www.inklidox.com
Instahyre,careers@instahyre.com,Aditya Rajput,fullstack,https://www.instahyre.com
Cutshort,careers@cutshort.io,Mehul Fanawala,fullstack,https://cutshort.io
Emo Energy,careers@emoenergy.in,Emo Energy Founder,fullstack,https://www.emoenergy.in
AVEA Technologies,careers@aveatech.com,AVEA Founder,fullstack,https://www.aveatech.com
Trellix,careers@trellix.com,Trellix India Lead,backend,https://trellix.com
XHawk AI,careers@xhawk.ai,XHawk Founder,fullstack,https://xhawk.ai
Unstop,careers@unstop.com,Ankit Aggarwal,fullstack,https://unstop.com
Apna,careers@apna.co,Nirmit Parikh,fullstack,https://apna.co
Krutrim,careers@olakrutrim.com,Bhavish Aggarwal,fullstack,https://www.olakrutrim.com
Tata 1mg,careers@1mg.com,Prashant Tandon,fullstack,https://www.1mg.com
Hirist,careers@hirist.tech,Hirist Founder,fullstack,https://www.hirist.tech
NextWithUS,careers@nextwithus.com,NextWithUS Founder,fullstack,https://nextwithus.com
RemoteRocketship,careers@remoterocketship.com,RemoteRocketship Founder,fullstack,https://remoterocketship.com
ForeignAdmits,careers@foreignadmits.com,ForeignAdmits Founder,fullstack,https://www.foreignadmits.com
Internshala,careers@internshala.com,Sarvesh Agrawal,fullstack,https://internshala.com
Peerlist,careers@peerlist.io,Yogini Bende,fullstack,https://peerlist.io
Tracxn,careers@tracxn.com,Neha Singh,fullstack,https://tracxn.com
Gethired,careers@gethired.com,Pragya Patnaik,fullstack,https://www.gethired.com
NextDoor Company,careers@nextdoor.company,NextDoor Founder,fullstack,https://nextdoor.company
Foundersday,careers@foundersday.co,Foundersday Founder,fullstack,https://foundersday.co
Arc.dev,careers@arc.dev,Arc Founder,fullstack,https://arc.dev
Startup Jobs,careers@startup.jobs,Startup Jobs Founder,fullstack,https://startup.jobs
Reactjobs,careers@reactjobs.io,Reactjobs Founder,frontend,https://reactjobs.io
G7 CR Technologies,careers@g7cr.in,G7 CR Founder,backend,https://www.g7cr.in
Spottabl,careers@spottabl.com,Spottabl Founder,fullstack,https://spottabl.com
Consider,careers@consider.com,Consider Founder,fullstack,https://consider.com
NNHire,careers@nnhire.com,NNHire Founder,fullstack,https://nnhire.com
Gradious,careers@gradious.com,Gradious Founder,fullstack,https://gradious.com
Qureos,careers@qureos.com,Qureos Founder,fullstack,https://qureos.com
Bigboxx,careers@bigboxx.in,Bigboxx Founder,fullstack,https://bigboxx.in
Appeaktech,careers@appeaktech.com,Appeaktech Founder,fullstack,https://appeaktech.com
